,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,2,142,74,0
1,1,0,0,0,33,1,0,0,2,0,2,0,0,0,1,0,3,497,3624,0
2,1,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,3,435,536,1
3,1,0,0,0,44,0,1,0,2,0,2,2,0,0,1,0,0,266,3570,0
4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,728,674,1
5,0,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,2,1273,2173,1
6,1,0,0,1,21,1,2,1,0,2,0,0,2,0,0,1,1,1074,3673,0
7,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,3,140,1145,0
8,0,0,1,0,27,1,2,1,0,0,2,2,2,2,0,1,2,1370,4384,1
9,1,0,0,1,61,1,0,0,2,2,0,0,0,0,1,0,0,481,4631,0
10,1,0,1,1,12,1,0,0,2,0,0,0,0,0,0,1,3,375,1775,0
11,1,0,0,0,15,1,0,2,1,1,1,1,1,1,2,0,1,8,1213,0
12,1,0,1,0,57,1,2,1,0,0,2,0,2,2,1,0,1,1287,5688,0
13,1,0,0,0,48,1,2,1,0,2,2,0,2,2,0,1,0,1348,5421,1
14,1,0,0,0,24,1,0,1,2,0,2,2,2,2,0,1,2,1384,4178,0
15,0,0,1,1,68,1,2,1,2,2,2,2,2,2,2,0,1,1518,6429,0
16,0,0,0,0,51,1,0,2,1,1,1,1,1,1,1,0,3,42,2496,0
17,1,0,0,1,70,1,2,1,2,0,2,0,2,2,2,0,0,1408,6309,0
18,0,0,1,1,9,1,0,0,0,0,2,2,0,0,0,0,1,462,1660,1
19,0,0,0,0,20,1,0,1,0,2,2,0,0,2,0,1,2,1093,3596,0
20,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,237,112,1
21,1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,0,0,25,852,0
22,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,32,25,1
23,0,0,1,0,57,1,2,0,0,2,0,2,0,0,2,1,1,540,4636,0
24,1,0,1,1,48,1,0,0,2,2,0,2,0,0,0,0,1,534,4330,0
25,0,0,0,0,29,1,0,0,2,2,0,0,0,0,0,1,0,464,3244,0
26,1,0,1,1,46,1,2,1,0,2,0,0,2,2,0,1,2,1267,5267,1
27,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,2,148,77,1
28,1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,1,1,1097,5982,0
29,0,0,0,1,16,1,0,0,0,0,0,0,2,2,0,1,3,621,2609,1
30,0,1,1,0,70,1,2,1,2,2,2,2,0,0,2,1,1,1214,6125,0
31,1,1,1,0,1,1,0,1,0,0,2,0,2,2,0,1,1,1197,787,0
32,0,0,1,1,26,1,0,0,2,2,2,2,0,0,1,0,3,649,3609,0
33,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,33,26,0
34,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310,151,0
35,0,0,1,1,71,1,2,1,2,2,0,2,2,0,2,0,0,1278,6274,0
36,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,708,1182,1
37,0,0,0,0,45,1,0,1,0,0,2,0,0,0,0,1,1,802,4663,0
38,1,0,0,0,33,1,2,1,0,2,2,0,2,2,0,1,2,1401,4664,1
